nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist
247623078,2026-01-27,242,22,11,47300,8,34400,0,0,9,50,100,7
254187000,2026-01-27,45,8,1,1250,0,0,0,0,18,13,0,3
254191940,2026-01-27,77,5,4,16400,2,8200,0,0,6,80,100,1
270872204,2026-01-27,2,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-01-27,337,42,13,73320,6,33840,1,5640,12,31,86,7
271809632,2026-01-27,117,0,0,0,0,0,0,0,0,0,0,1
271818138,2026-01-27,84,14,5,7500,4,6000,1,1500,17,36,80,0
271819855,2026-01-27,221,2,2,11858,2,11858,0,0,1,100,100,3
271971634,2026-01-27,27,1,1,3120,1,3120,0,0,4,100,100,0
271980394,2026-01-27,152,3,0,0,0,0,0,0,2,0,0,4
272463535,2026-01-27,173,6,7,41300,7,41300,0,0,3,117,100,1
279162691,2026-01-27,222,14,8,33280,7,29120,0,0,6,57,100,8
279167715,2026-01-27,766,127,70,342000,50,244800,0,0,17,55,100,37
279564404,2026-01-27,200,12,5,19800,4,15840,0,0,6,42,100,3
279566437,2026-01-27,178,12,3,16500,2,11000,0,0,7,25,100,6
279592765,2026-01-27,28,1,0,0,0,0,0,0,4,0,0,1
279595772,2026-01-27,15,0,0,0,0,0,0,0,0,0,0,0
279597030,2026-01-27,15,0,0,0,0,0,0,0,0,0,0,1
302392633,2026-01-27,220,30,10,15000,8,12000,0,0,14,33,100,3
302393264,2026-01-27,110,4,1,7399,1,7399,0,0,4,25,100,1
302394019,2026-01-27,116,7,2,4400,2,4400,0,0,6,29,100,1
302394901,2026-01-27,76,2,0,0,0,0,0,0,3,0,0,0
302409780,2026-01-27,27,1,0,0,0,0,0,0,4,0,0,0
302409781,2026-01-27,97,18,5,26000,4,20800,0,0,19,28,100,9
380908272,2026-01-27,235,16,7,7686,4,4392,0,0,7,44,100,0
398486869,2026-01-27,64,9,4,19080,1,4770,0,0,14,44,100,3
418242946,2026-01-27,84,11,8,9568,6,7176,0,0,13,73,100,4
418279308,2026-01-27,279,34,19,31920,10,16800,0,0,12,56,100,6
420841200,2026-01-27,25,1,1,6240,1,6240,0,0,4,100,100,2
420856388,2026-01-27,119,2,0,0,0,0,0,0,2,0,0,0
454037816,2026-01-27,223,23,10,11500,6,6900,0,0,10,43,100,2
467259691,2026-01-27,115,2,0,0,0,0,0,0,2,0,0,0
468661048,2026-01-27,182,1,0,0,0,0,0,0,1,0,0,1
478564778,2026-01-27,34,4,1,1600,1,1600,0,0,12,25,100,0
479562677,2026-01-27,32,6,1,1500,0,0,0,0,19,17,0,1
479691896,2026-01-27,199,23,9,13500,4,6000,0,0,12,39,100,5
503954091,2026-01-27,263,24,16,20000,12,15000,0,0,9,67,100,7
529732950,2026-01-27,90,3,1,8970,0,0,1,8970,3,33,0,0
535722000,2026-01-27,4,0,0,0,0,0,0,0,0,0,0,0
535728987,2026-01-27,1,0,0,0,0,0,0,0,0,0,0,0
734343306,2026-01-27,84,0,0,0,0,0,0,0,0,0,0,0
734496059,2026-01-27,104,4,0,0,0,0,0,0,4,0,0,1
734553277,2026-01-27,17,0,0,0,0,0,0,0,0,0,0,0
734620983,2026-01-27,27,2,0,0,0,0,0,0,7,0,0,1
769093795,2026-01-27,21,0,0,0,0,0,0,0,0,0,0,0
769110697,2026-01-27,113,0,0,0,0,0,0,0,0,0,0,1
769128144,2026-01-27,218,11,3,18360,2,12240,0,0,5,27,100,6
247623078,2026-01-28,236,18,6,25800,3,12900,0,0,8,33,100,3
254187000,2026-01-28,54,4,2,2500,0,0,0,0,7,50,0,1
254191940,2026-01-28,86,11,5,20500,2,8200,0,0,13,45,100,3
270872204,2026-01-28,1,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-01-28,317,43,24,135360,11,62040,0,0,14,56,100,10
271809632,2026-01-28,157,8,1,4240,1,4240,0,0,5,13,100,1
271818138,2026-01-28,105,14,3,4500,1,1500,0,0,13,21,100,4
271819855,2026-01-28,196,4,0,0,0,0,0,0,2,0,0,4
271971634,2026-01-28,9,0,0,0,0,0,0,0,0,0,0,1
271980394,2026-01-28,187,3,0,0,0,0,0,0,2,0,0,3
272463535,2026-01-28,207,10,3,17700,3,17700,0,0,5,30,100,0
279162691,2026-01-28,263,10,2,8320,1,4160,0,0,4,20,100,4
279167715,2026-01-28,723,112,42,200340,24,114480,1,4770,15,38,96,33
279564404,2026-01-28,204,12,6,23760,4,15840,0,0,6,50,100,1
279566437,2026-01-28,226,25,9,49500,8,44000,0,0,11,36,100,6
279592765,2026-01-28,31,3,0,0,0,0,0,0,10,0,0,0
279595772,2026-01-28,26,0,0,0,0,0,0,0,0,0,0,0
279597030,2026-01-28,31,0,0,0,0,0,0,0,0,0,0,1
302392633,2026-01-28,198,29,13,19500,10,15000,0,0,15,45,100,9
302393264,2026-01-28,107,5,2,14798,0,0,0,0,5,40,0,3
302394019,2026-01-28,104,8,2,4400,2,4400,0,0,8,25,100,1
302394901,2026-01-28,77,3,1,6000,1,6000,0,0,4,33,100,2
302409780,2026-01-28,33,3,2,3060,1,1530,0,0,9,67,100,0
302409781,2026-01-28,109,16,9,46800,5,26000,0,0,15,56,100,1
380908272,2026-01-28,226,13,4,4392,2,2196,0,0,6,31,100,2
398486869,2026-01-28,68,6,4,19080,1,4770,0,0,9,67,100,1
418242946,2026-01-28,17,0,0,0,0,0,0,0,0,0,0,2
418279308,2026-01-28,295,24,13,21840,10,16800,0,0,8,54,100,3
420841200,2026-01-28,20,4,0,0,0,0,0,0,20,0,0,1
420856388,2026-01-28,123,6,1,7164,1,7164,0,0,5,17,100,1
454037816,2026-01-28,216,8,6,6900,3,3450,0,0,4,75,100,0
467259691,2026-01-28,176,2,1,1505,1,1505,0,0,1,50,100,0
468661048,2026-01-28,190,5,2,2600,2,2600,0,0,3,40,100,0
478564778,2026-01-28,46,5,0,0,0,0,0,0,11,0,0,1
479562677,2026-01-28,36,4,2,3000,0,0,0,0,11,50,0,2
479691896,2026-01-28,195,23,11,16500,6,9000,0,0,12,48,100,4
503954091,2026-01-28,288,22,8,10000,3,3750,0,0,8,36,100,6
529732950,2026-01-28,93,1,0,0,0,0,0,0,1,0,0,0
535722000,2026-01-28,2,0,0,0,0,0,0,0,0,0,0,0
535728987,2026-01-28,5,0,0,0,0,0,0,0,0,0,0,1
734343306,2026-01-28,90,1,0,0,0,0,0,0,1,0,0,1
734496059,2026-01-28,84,2,0,0,0,0,0,0,2,0,0,0
734553277,2026-01-28,31,2,1,3680,1,3680,0,0,6,50,100,0
734620983,2026-01-28,37,4,1,4000,1,4000,0,0,11,25,100,0
769093795,2026-01-28,34,0,0,0,0,0,0,0,0,0,0,0
769110697,2026-01-28,128,1,0,0,0,0,0,0,1,0,0,0
769128144,2026-01-28,190,13,2,12240,1,6120,0,0,7,15,100,6
247623078,2026-01-29,219,20,8,34400,5,21500,0,0,9,40,100,6
254187000,2026-01-29,65,7,2,2500,2,2500,0,0,11,29,100,1
254191940,2026-01-29,90,10,5,20500,0,0,0,0,11,50,0,2
270872204,2026-01-29,3,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-01-29,271,33,12,67680,2,11280,0,0,12,36,100,13
271809632,2026-01-29,159,6,1,4320,0,0,0,0,4,17,0,3
271818138,2026-01-29,96,9,3,4500,0,0,0,0,9,33,0,1
271819855,2026-01-29,205,3,3,17787,1,5929,0,0,1,100,100,2
271971634,2026-01-29,13,0,0,0,0,0,0,0,0,0,0,0
271980394,2026-01-29,178,4,0,0,0,0,0,0,2,0,0,0
272463535,2026-01-29,203,10,5,29500,1,5900,0,0,5,50,100,1
279162691,2026-01-29,240,19,5,20800,3,12480,0,0,8,26,100,5
279167715,2026-01-29,704,113,58,276660,19,90630,0,0,16,51,100,31
279564404,2026-01-29,229,21,9,35640,3,11880,0,0,9,43,100,2
279566437,2026-01-29,247,11,7,38500,1,5500,0,0,4,64,100,5
279592765,2026-01-29,26,4,0,0,0,0,0,0,15,0,0,2
279595772,2026-01-29,30,3,2,2700,1,1350,0,0,10,67,100,0
279597030,2026-01-29,28,1,0,0,0,0,0,0,4,0,0,0
302392633,2026-01-29,231,24,16,24000,11,16500,0,0,10,67,100,8
302393264,2026-01-29,111,10,2,14798,1,7399,0,0,9,20,100,4
302394019,2026-01-29,121,8,2,4350,2,4350,0,0,7,25,100,4
302394901,2026-01-29,78,2,0,0,0,0,0,0,3,0,0,2
302409780,2026-01-29,26,2,0,0,0,0,0,0,8,0,0,0
302409781,2026-01-29,84,10,4,21100,0,0,0,0,12,40,0,8
380908272,2026-01-29,237,27,10,10980,5,5490,0,0,11,37,100,3
398486869,2026-01-29,102,12,2,9540,2,9540,0,0,12,17,100,1
418242946,2026-01-29,63,12,3,3588,0,0,0,0,19,25,0,5
418279308,2026-01-29,384,37,13,21840,5,8400,0,0,10,35,100,9
420841200,2026-01-29,35,7,2,12480,1,6240,0,0,20,29,100,0
420856388,2026-01-29,170,10,3,21492,1,7164,0,0,6,30,100,3
454037816,2026-01-29,208,7,3,3450,1,1150,0,0,3,43,100,2
467259691,2026-01-29,159,1,0,0,0,0,0,0,1,0,0,0
468661048,2026-01-29,198,8,2,2600,1,1300,0,0,4,25,100,6
478564778,2026-01-29,64,9,2,3200,1,1600,0,0,14,22,100,0
479562677,2026-01-29,59,7,3,4500,1,1500,0,0,12,43,100,3
479691896,2026-01-29,264,29,8,12000,2,3000,0,0,11,28,100,11
503954091,2026-01-29,241,20,11,13350,3,3650,0,0,8,55,100,5
529732950,2026-01-29,135,1,0,0,0,0,0,0,1,0,0,0
535722000,2026-01-29,7,0,0,0,0,0,0,0,0,0,0,0
535728987,2026-01-29,1,0,0,0,0,0,0,0,0,0,0,0
734343306,2026-01-29,135,1,0,0,0,0,0,0,1,0,0,0
734496059,2026-01-29,156,9,2,9240,0,0,0,0,6,22,0,2
734553277,2026-01-29,26,1,0,0,0,0,0,0,4,0,0,0
734620983,2026-01-29,46,1,0,0,0,0,0,0,2,0,0,0
769093795,2026-01-29,35,0,0,0,0,0,0,0,0,0,0,0
769110697,2026-01-29,116,2,1,3430,0,0,0,0,2,50,0,1
769128144,2026-01-29,195,13,2,11760,0,0,0,0,7,15,0,9
247623078,2026-01-30,245,21,11,47300,0,0,0,0,9,52,0,6
254187000,2026-01-30,75,12,3,3750,0,0,0,0,16,25,0,5
254191940,2026-01-30,81,8,5,20500,1,4100,0,0,10,63,100,1
270872204,2026-01-30,1,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-01-30,246,25,18,101520,0,0,0,0,10,72,0,5
271809632,2026-01-30,127,4,0,0,0,0,0,0,3,0,0,0
271818138,2026-01-30,93,14,4,6000,0,0,0,0,15,29,0,4
271819855,2026-01-30,194,5,0,0,0,0,0,0,3,0,0,0
271971634,2026-01-30,16,0,0,0,0,0,0,0,0,0,0,0
271980394,2026-01-30,170,6,2,10560,0,0,0,0,4,33,0,1
272463535,2026-01-30,192,10,4,23600,0,0,0,0,5,40,0,2
279162691,2026-01-30,235,11,6,24960,1,4160,0,0,5,55,100,2
279167715,2026-01-30,731,136,76,362520,7,33390,0,0,19,56,100,21
279564404,2026-01-30,183,16,7,27720,0,0,0,0,9,44,0,8
279566437,2026-01-30,192,6,4,22000,1,5500,0,0,3,67,100,5
279592765,2026-01-30,40,4,3,15000,0,0,0,0,10,75,0,0
279595772,2026-01-30,20,1,0,0,0,0,0,0,5,0,0,0
279597030,2026-01-30,20,0,0,0,0,0,0,0,0,0,0,0
302392633,2026-01-30,186,16,12,18000,2,3000,0,0,9,75,100,8
302393264,2026-01-30,85,8,4,29596,0,0,0,0,9,50,0,2
302394019,2026-01-30,102,6,2,4300,0,0,0,0,6,33,0,3
302394901,2026-01-30,64,2,0,0,0,0,0,0,3,0,0,3
302409780,2026-01-30,42,4,1,1530,1,1530,0,0,10,25,100,1
302409781,2026-01-30,95,13,5,26500,0,0,0,0,14,38,0,10
380908272,2026-01-30,222,14,7,7686,1,1098,0,0,6,50,100,2
398486869,2026-01-30,71,11,5,23850,0,0,0,0,15,45,0,3
418242946,2026-01-30,64,11,2,2392,0,0,0,0,17,18,0,1
418279308,2026-01-30,279,31,14,23520,2,3360,0,0,11,45,100,7
420841200,2026-01-30,28,0,0,0,0,0,0,0,0,0,0,0
420856388,2026-01-30,133,11,3,21492,2,14328,0,0,8,27,100,3
454037816,2026-01-30,217,8,8,9200,0,0,0,0,4,100,0,1
467259691,2026-01-30,145,2,0,0,0,0,0,0,1,0,0,0
468661048,2026-01-30,184,6,2,2600,0,0,0,0,3,33,0,0
478564778,2026-01-30,44,5,3,4800,0,0,0,0,11,60,0,0
479562677,2026-01-30,55,6,4,6000,0,0,0,0,11,67,0,3
479691896,2026-01-30,208,24,10,15000,1,1500,0,0,12,42,100,2
503954091,2026-01-30,235,18,11,13200,0,0,0,0,8,61,0,4
529732950,2026-01-30,110,1,0,0,0,0,0,0,1,0,0,1
535722000,2026-01-30,5,0,0,0,0,0,0,0,0,0,0,0
734343306,2026-01-30,105,1,0,0,0,0,0,0,1,0,0,0
734496059,2026-01-30,113,6,0,0,0,0,0,0,5,0,0,1
734553277,2026-01-30,20,0,0,0,0,0,0,0,0,0,0,0
734620983,2026-01-30,36,2,0,0,0,0,0,0,6,0,0,2
769093795,2026-01-30,31,0,0,0,0,0,0,0,0,0,0,1
769110697,2026-01-30,134,4,1,3430,0,0,0,0,3,25,0,1
769128144,2026-01-30,192,14,1,5880,0,0,0,0,7,7,0,4
247623078,2026-01-31,221,25,10,43500,0,0,0,0,11,40,0,1
254187000,2026-01-31,91,11,6,7500,0,0,0,0,12,55,0,2
254191940,2026-01-31,90,9,3,12300,0,0,0,0,10,33,0,1
270872204,2026-01-31,6,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-01-31,203,22,12,67680,0,0,0,0,11,55,0,4
271809632,2026-01-31,156,4,4,17280,0,0,0,0,3,100,0,2
271818138,2026-01-31,84,10,8,12000,0,0,0,0,12,80,0,0
271819855,2026-01-31,212,7,4,23716,0,0,0,0,3,57,0,1
271971634,2026-01-31,8,0,0,0,0,0,0,0,0,0,0,0
271980394,2026-01-31,228,10,3,15840,0,0,0,0,4,30,0,2
272463535,2026-01-31,250,12,5,29500,0,0,0,0,5,42,0,1
279162691,2026-01-31,316,24,14,58240,0,0,0,0,8,58,0,2
279167715,2026-01-31,706,108,61,290970,0,0,0,0,15,56,0,20
279564404,2026-01-31,232,23,6,23760,0,0,0,0,10,26,0,6
279566437,2026-01-31,216,17,5,27500,0,0,0,0,8,29,0,1
279592765,2026-01-31,43,4,0,0,0,0,0,0,9,0,0,0
279595772,2026-01-31,42,3,1,1350,0,0,0,0,7,33,0,1
279597030,2026-01-31,40,1,1,3150,0,0,0,0,3,100,0,0
302392633,2026-01-31,224,38,24,36000,0,0,0,0,17,63,0,5
302393264,2026-01-31,108,6,1,7399,0,0,0,0,6,17,0,2
302394019,2026-01-31,88,4,1,2150,0,0,0,0,5,25,0,1
302394901,2026-01-31,84,5,5,30000,0,0,0,0,6,100,0,0
302409780,2026-01-31,51,5,4,6120,0,0,0,0,10,80,0,0
302409781,2026-01-31,100,16,7,37100,0,0,0,0,16,44,0,3
380908272,2026-01-31,278,23,14,15372,0,0,0,0,8,61,0,0
398486869,2026-01-31,56,8,6,28620,0,0,0,0,14,75,0,1
418242946,2026-01-31,65,13,2,2392,0,0,0,0,20,15,0,2
418279308,2026-01-31,294,33,22,36960,0,0,0,0,11,67,0,9
420841200,2026-01-31,28,1,0,0,0,0,0,0,4,0,0,1
420856388,2026-01-31,142,5,4,28656,0,0,0,0,4,80,0,3
454037816,2026-01-31,292,17,8,9200,0,0,0,0,6,47,0,2
467259691,2026-01-31,171,0,1,1505,0,0,0,0,0,0,0,1
468661048,2026-01-31,214,7,3,3900,0,0,0,0,3,43,0,1
478564778,2026-01-31,49,9,3,4800,0,0,0,0,18,33,0,1
479562677,2026-01-31,48,7,3,4500,0,0,0,0,15,43,0,0
479691896,2026-01-31,177,19,9,13500,0,0,0,0,11,47,0,3
503954091,2026-01-31,211,27,11,13200,0,0,0,0,13,41,0,5
529732950,2026-01-31,115,1,0,0,0,0,0,0,1,0,0,2
535722000,2026-01-31,10,0,0,0,0,0,0,0,0,0,0,0
535728987,2026-01-31,1,0,0,0,0,0,0,0,0,0,0,0
734343306,2026-01-31,106,1,0,0,0,0,0,0,1,0,0,0
734496059,2026-01-31,105,1,0,0,0,0,0,0,1,0,0,0
734553277,2026-01-31,28,1,0,0,0,0,0,0,4,0,0,1
734620983,2026-01-31,23,2,0,0,0,0,0,0,9,0,0,0
769093795,2026-01-31,39,1,0,0,0,0,0,0,3,0,0,0
769110697,2026-01-31,92,2,1,3430,0,0,0,0,2,50,0,2
769128144,2026-01-31,190,20,5,29400,0,0,0,0,11,25,0,7
247623078,2026-02-01,15,1,0,0,0,0,0,0,7,0,0,0
254187000,2026-02-01,1,0,0,0,0,0,0,0,0,0,0,0
254191940,2026-02-01,2,0,0,0,0,0,0,0,0,0,0,0
271788356,2026-02-01,8,0,0,0,0,0,0,0,0,0,0,1
271809632,2026-02-01,9,0,0,0,0,0,0,0,0,0,0,0
271818138,2026-02-01,2,0,0,0,0,0,0,0,0,0,0,0
271819855,2026-02-01,13,0,0,0,0,0,0,0,0,0,0,0
271980394,2026-02-01,9,1,1,5280,0,0,0,0,11,100,0,0
272463535,2026-02-01,10,0,0,0,0,0,0,0,0,0,0,0
279162691,2026-02-01,11,0,0,0,0,0,0,0,0,0,0,0
279167715,2026-02-01,35,4,3,14310,0,0,0,0,11,75,0,2
279564404,2026-02-01,15,2,1,3960,0,0,0,0,13,50,0,0
279566437,2026-02-01,14,1,0,0,0,0,0,0,7,0,0,0
279597030,2026-02-01,2,1,0,0,0,0,0,0,50,0,0,0
302392633,2026-02-01,12,0,0,0,0,0,0,0,0,0,0,0
302393264,2026-02-01,3,1,0,0,0,0,0,0,33,0,0,0
302394019,2026-02-01,3,0,0,0,0,0,0,0,0,0,0,0
302394901,2026-02-01,4,0,0,0,0,0,0,0,0,0,0,0
302409780,2026-02-01,1,0,0,0,0,0,0,0,0,0,0,0
302409781,2026-02-01,3,0,0,0,0,0,0,0,0,0,0,0
380908272,2026-02-01,16,2,0,0,0,0,0,0,13,0,0,0
398486869,2026-02-01,4,0,0,0,0,0,0,0,0,0,0,0
418242946,2026-02-01,4,0,0,0,0,0,0,0,0,0,0,0
418279308,2026-02-01,7,1,1,1680,0,0,0,0,14,100,0,0
420856388,2026-02-01,3,0,0,0,0,0,0,0,0,0,0,0
454037816,2026-02-01,12,0,0,0,0,0,0,0,0,0,0,0
467259691,2026-02-01,10,0,0,0,0,0,0,0,0,0,0,0
468661048,2026-02-01,15,1,1,1300,0,0,0,0,7,100,0,0
479562677,2026-02-01,1,1,0,0,0,0,0,0,100,0,0,0
479691896,2026-02-01,8,2,0,0,0,0,0,0,25,0,0,0
503954091,2026-02-01,21,2,0,0,0,0,0,0,10,0,0,0
529732950,2026-02-01,4,0,0,0,0,0,0,0,0,0,0,0
734343306,2026-02-01,1,0,0,0,0,0,0,0,0,0,0,0
734496059,2026-02-01,2,0,0,0,0,0,0,0,0,0,0,0
734620983,2026-02-01,1,0,0,0,0,0,0,0,0,0,0,0
769110697,2026-02-01,8,0,0,0,0,0,0,0,0,0,0,0
769128144,2026-02-01,12,0,0,0,0,0,0,0,0,0,0,0
